geometry
"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))"
"POLYGON ((908433.4348778214 7476684.861747535, 908433.4348778214 7486684.861747535, 898433.4348778214 7486684.861747535, 898433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535))"
"POLYGON ((908433.4348778214 7556684.861747535, 908433.4348778214 7566684.861747535, 898433.4348778214 7566684.861747535, 898433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535))"
"POLYGON ((908433.4348778214 7566684.861747535, 908433.4348778214 7576684.861747535, 898433.4348778214 7576684.861747535, 898433.4348778214 7566684.861747535, 908433.4348778214 7566684.861747535))"
"POLYGON ((908433.4348778214 7576684.861747535, 908433.4348778214 7586684.861747535, 898433.4348778214 7586684.861747535, 898433.4348778214 7576684.861747535, 908433.4348778214 7576684.861747535))"
"POLYGON ((918433.4348778214 7466684.861747535, 918433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535))"
"POLYGON ((918433.4348778214 7476684.861747535, 918433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535, 908433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535))"
"POLYGON ((918433.4348778214 7486684.861747535, 918433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535, 908433.4348778214 7486684.861747535, 918433.4348778214 7486684.861747535))"
"POLYGON ((918433.4348778214 7496684.861747535, 918433.4348778214 7506684.861747535, 908433.4348778214 7506684.861747535, 908433.4348778214 7496684.861747535, 918433.4348778214 7496684.861747535))"
"POLYGON ((918433.4348778214 7506684.861747535, 918433.4348778214 7516684.861747535, 908433.4348778214 7516684.861747535, 908433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535))"
"POLYGON ((918433.4348778214 7516684.861747535, 918433.4348778214 7526684.861747535, 908433.4348778214 7526684.861747535, 908433.4348778214 7516684.861747535, 918433.4348778214 7516684.861747535))"
"POLYGON ((918433.4348778214 7576684.861747535, 918433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535, 908433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535))"
"POLYGON ((918433.4348778214 7586684.861747535, 918433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535, 908433.4348778214 7586684.861747535, 918433.4348778214 7586684.861747535))"
"POLYGON ((918433.4348778214 7596684.861747535, 918433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535, 908433.4348778214 7596684.861747535, 918433.4348778214 7596684.861747535))"
"POLYGON ((918433.4348778214 7606684.861747535, 918433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535, 908433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535))"
"POLYGON ((918433.4348778214 7616684.861747535, 918433.4348778214 7626684.861747535, 908433.4348778214 7626684.861747535, 908433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535))"
"POLYGON ((918433.4348778214 7636684.861747535, 918433.4348778214 7646684.861747535, 908433.4348778214 7646684.861747535, 908433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535))"
"POLYGON ((918433.4348778214 7646684.861747535, 918433.4348778214 7656684.861747535, 908433.4348778214 7656684.861747535, 908433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535))"
"POLYGON ((918433.4348778214 7656684.861747535, 918433.4348778214 7666684.861747535, 908433.4348778214 7666684.861747535, 908433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535))"
"POLYGON ((918433.4348778214 7666684.861747535, 918433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535, 908433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535))"
"POLYGON ((918433.4348778214 7676684.861747535, 918433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535, 908433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535))"
"POLYGON ((918433.4348778214 7686684.861747535, 918433.4348778214 7696684.861747535, 908433.4348778214 7696684.861747535, 908433.4348778214 7686684.861747535, 918433.4348778214 7686684.861747535))"
"POLYGON ((928433.4348778214 7476684.861747535, 928433.4348778214 7486684.861747535, 918433.4348778214 7486684.861747535, 918433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535))"
"POLYGON ((928433.4348778214 7486684.861747535, 928433.4348778214 7496684.861747535, 918433.4348778214 7496684.861747535, 918433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535))"
"POLYGON ((928433.4348778214 7496684.861747535, 928433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535, 918433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535))"
"POLYGON ((928433.4348778214 7506684.861747535, 928433.4348778214 7516684.861747535, 918433.4348778214 7516684.861747535, 918433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535))"
"POLYGON ((928433.4348778214 7516684.861747535, 928433.4348778214 7526684.861747535, 918433.4348778214 7526684.861747535, 918433.4348778214 7516684.861747535, 928433.4348778214 7516684.861747535))"
"POLYGON ((928433.4348778214 7566684.861747535, 928433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535, 918433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535))"
"POLYGON ((928433.4348778214 7576684.861747535, 928433.4348778214 7586684.861747535, 918433.4348778214 7586684.861747535, 918433.4348778214 7576684.861747535, 928433.4348778214 7576684.861747535))"
"POLYGON ((928433.4348778214 7586684.861747535, 928433.4348778214 7596684.861747535, 918433.4348778214 7596684.861747535, 918433.4348778214 7586684.861747535, 928433.4348778214 7586684.861747535))"
"POLYGON ((928433.4348778214 7596684.861747535, 928433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535, 918433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535))"
"POLYGON ((928433.4348778214 7606684.861747535, 928433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535, 918433.4348778214 7606684.861747535, 928433.4348778214 7606684.861747535))"
"POLYGON ((928433.4348778214 7626684.861747535, 928433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535, 918433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535))"
"POLYGON ((928433.4348778214 7636684.861747535, 928433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535, 918433.4348778214 7636684.861747535, 928433.4348778214 7636684.861747535))"
"POLYGON ((928433.4348778214 7646684.861747535, 928433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535, 918433.4348778214 7646684.861747535, 928433.4348778214 7646684.861747535))"
"POLYGON ((928433.4348778214 7656684.861747535, 928433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535, 918433.4348778214 7656684.861747535, 928433.4348778214 7656684.861747535))"
"POLYGON ((928433.4348778214 7666684.861747535, 928433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535, 918433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535))"
"POLYGON ((928433.4348778214 7706684.861747535, 928433.4348778214 7716684.861747535, 918433.4348778214 7716684.861747535, 918433.4348778214 7706684.861747535, 928433.4348778214 7706684.861747535))"
"POLYGON ((928433.4348778214 7716684.861747535, 928433.4348778214 7726684.861747535, 918433.4348778214 7726684.861747535, 918433.4348778214 7716684.861747535, 928433.4348778214 7716684.861747535))"
"POLYGON ((928433.4348778214 7726684.861747535, 928433.4348778214 7736684.861747535, 918433.4348778214 7736684.861747535, 918433.4348778214 7726684.861747535, 928433.4348778214 7726684.861747535))"
"POLYGON ((938433.4348778214 7436684.861747535, 938433.4348778214 7446684.861747535, 928433.4348778214 7446684.861747535, 928433.4348778214 7436684.861747535, 938433.4348778214 7436684.861747535))"
"POLYGON ((938433.4348778214 7446684.861747535, 938433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535, 928433.4348778214 7446684.861747535, 938433.4348778214 7446684.861747535))"
"POLYGON ((938433.4348778214 7456684.861747535, 938433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535, 928433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535))"
"POLYGON ((938433.4348778214 7466684.861747535, 938433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535, 928433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535))"
"POLYGON ((938433.4348778214 7476684.861747535, 938433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535, 928433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535))"
"POLYGON ((938433.4348778214 7486684.861747535, 938433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535, 928433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535))"
"POLYGON ((938433.4348778214 7496684.861747535, 938433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535, 928433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535))"
"POLYGON ((938433.4348778214 7506684.861747535, 938433.4348778214 7516684.861747535, 928433.4348778214 7516684.861747535, 928433.4348778214 7506684.861747535, 938433.4348778214 7506684.861747535))"
"POLYGON ((938433.4348778214 7516684.861747535, 938433.4348778214 7526684.861747535, 928433.4348778214 7526684.861747535, 928433.4348778214 7516684.861747535, 938433.4348778214 7516684.861747535))"
"POLYGON ((938433.4348778214 7526684.861747535, 938433.4348778214 7536684.861747535, 928433.4348778214 7536684.861747535, 928433.4348778214 7526684.861747535, 938433.4348778214 7526684.861747535))"
"POLYGON ((938433.4348778214 7536684.861747535, 938433.4348778214 7546684.861747535, 928433.4348778214 7546684.861747535, 928433.4348778214 7536684.861747535, 938433.4348778214 7536684.861747535))"
"POLYGON ((938433.4348778214 7546684.861747535, 938433.4348778214 7556684.861747535, 928433.4348778214 7556684.861747535, 928433.4348778214 7546684.861747535, 938433.4348778214 7546684.861747535))"
"POLYGON ((938433.4348778214 7556684.861747535, 938433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535, 928433.4348778214 7556684.861747535, 938433.4348778214 7556684.861747535))"
"POLYGON ((938433.4348778214 7566684.861747535, 938433.4348778214 7576684.861747535, 928433.4348778214 7576684.861747535, 928433.4348778214 7566684.861747535, 938433.4348778214 7566684.861747535))"
"POLYGON ((938433.4348778214 7576684.861747535, 938433.4348778214 7586684.861747535, 928433.4348778214 7586684.861747535, 928433.4348778214 7576684.861747535, 938433.4348778214 7576684.861747535))"
"POLYGON ((938433.4348778214 7586684.861747535, 938433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535, 928433.4348778214 7586684.861747535, 938433.4348778214 7586684.861747535))"
"POLYGON ((938433.4348778214 7596684.861747535, 938433.4348778214 7606684.861747535, 928433.4348778214 7606684.861747535, 928433.4348778214 7596684.861747535, 938433.4348778214 7596684.861747535))"
"POLYGON ((938433.4348778214 7606684.861747535, 938433.4348778214 7616684.861747535, 928433.4348778214 7616684.861747535, 928433.4348778214 7606684.861747535, 938433.4348778214 7606684.861747535))"
"POLYGON ((938433.4348778214 7616684.861747535, 938433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535, 928433.4348778214 7616684.861747535, 938433.4348778214 7616684.861747535))"
"POLYGON ((938433.4348778214 7626684.861747535, 938433.4348778214 7636684.861747535, 928433.4348778214 7636684.861747535, 928433.4348778214 7626684.861747535, 938433.4348778214 7626684.861747535))"
"POLYGON ((938433.4348778214 7636684.861747535, 938433.4348778214 7646684.861747535, 928433.4348778214 7646684.861747535, 928433.4348778214 7636684.861747535, 938433.4348778214 7636684.861747535))"
"POLYGON ((938433.4348778214 7646684.861747535, 938433.4348778214 7656684.861747535, 928433.4348778214 7656684.861747535, 928433.4348778214 7646684.861747535, 938433.4348778214 7646684.861747535))"
"POLYGON ((938433.4348778214 7656684.861747535, 938433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535, 928433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535))"
"POLYGON ((938433.4348778214 7666684.861747535, 938433.4348778214 7676684.861747535, 928433.4348778214 7676684.861747535, 928433.4348778214 7666684.861747535, 938433.4348778214 7666684.861747535))"
"POLYGON ((938433.4348778214 7696684.861747535, 938433.4348778214 7706684.861747535, 928433.4348778214 7706684.861747535, 928433.4348778214 7696684.861747535, 938433.4348778214 7696684.861747535))"
"POLYGON ((938433.4348778214 7706684.861747535, 938433.4348778214 7716684.861747535, 928433.4348778214 7716684.861747535, 928433.4348778214 7706684.861747535, 938433.4348778214 7706684.861747535))"
"POLYGON ((938433.4348778214 7716684.861747535, 938433.4348778214 7726684.861747535, 928433.4348778214 7726684.861747535, 928433.4348778214 7716684.861747535, 938433.4348778214 7716684.861747535))"
"POLYGON ((938433.4348778214 7726684.861747535, 938433.4348778214 7736684.861747535, 928433.4348778214 7736684.861747535, 928433.4348778214 7726684.861747535, 938433.4348778214 7726684.861747535))"
"POLYGON ((938433.4348778214 7736684.861747535, 938433.4348778214 7746684.861747535, 928433.4348778214 7746684.861747535, 928433.4348778214 7736684.861747535, 938433.4348778214 7736684.861747535))"
"POLYGON ((938433.4348778214 7746684.861747535, 938433.4348778214 7756684.861747535, 928433.4348778214 7756684.861747535, 928433.4348778214 7746684.861747535, 938433.4348778214 7746684.861747535))"
"POLYGON ((948433.4348778214 7376684.861747535, 948433.4348778214 7386684.861747535, 938433.4348778214 7386684.861747535, 938433.4348778214 7376684.861747535, 948433.4348778214 7376684.861747535))"
"POLYGON ((948433.4348778214 7446684.861747535, 948433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535, 938433.4348778214 7446684.861747535, 948433.4348778214 7446684.861747535))"
"POLYGON ((948433.4348778214 7456684.861747535, 948433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535, 938433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535))"
"POLYGON ((948433.4348778214 7466684.861747535, 948433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535, 938433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535))"
"POLYGON ((948433.4348778214 7476684.861747535, 948433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535, 938433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535))"
"POLYGON ((948433.4348778214 7486684.861747535, 948433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535, 938433.4348778214 7486684.861747535, 948433.4348778214 7486684.861747535))"
"POLYGON ((948433.4348778214 7496684.861747535, 948433.4348778214 7506684.861747535, 938433.4348778214 7506684.861747535, 938433.4348778214 7496684.861747535, 948433.4348778214 7496684.861747535))"
"POLYGON ((948433.4348778214 7506684.861747535, 948433.4348778214 7516684.861747535, 938433.4348778214 7516684.861747535, 938433.4348778214 7506684.861747535, 948433.4348778214 7506684.861747535))"
"POLYGON ((948433.4348778214 7516684.861747535, 948433.4348778214 7526684.861747535, 938433.4348778214 7526684.861747535, 938433.4348778214 7516684.861747535, 948433.4348778214 7516684.861747535))"
"POLYGON ((948433.4348778214 7526684.861747535, 948433.4348778214 7536684.861747535, 938433.4348778214 7536684.861747535, 938433.4348778214 7526684.861747535, 948433.4348778214 7526684.861747535))"
"POLYGON ((948433.4348778214 7536684.861747535, 948433.4348778214 7546684.861747535, 938433.4348778214 7546684.861747535, 938433.4348778214 7536684.861747535, 948433.4348778214 7536684.861747535))"
"POLYGON ((948433.4348778214 7546684.861747535, 948433.4348778214 7556684.861747535, 938433.4348778214 7556684.861747535, 938433.4348778214 7546684.861747535, 948433.4348778214 7546684.861747535))"
"POLYGON ((948433.4348778214 7556684.861747535, 948433.4348778214 7566684.861747535, 938433.4348778214 7566684.861747535, 938433.4348778214 7556684.861747535, 948433.4348778214 7556684.861747535))"
"POLYGON ((948433.4348778214 7566684.861747535, 948433.4348778214 7576684.861747535, 938433.4348778214 7576684.861747535, 938433.4348778214 7566684.861747535, 948433.4348778214 7566684.861747535))"
"POLYGON ((948433.4348778214 7576684.861747535, 948433.4348778214 7586684.861747535, 938433.4348778214 7586684.861747535, 938433.4348778214 7576684.861747535, 948433.4348778214 7576684.861747535))"
"POLYGON ((948433.4348778214 7586684.861747535, 948433.4348778214 7596684.861747535, 938433.4348778214 7596684.861747535, 938433.4348778214 7586684.861747535, 948433.4348778214 7586684.861747535))"
"POLYGON ((948433.4348778214 7596684.861747535, 948433.4348778214 7606684.861747535, 938433.4348778214 7606684.861747535, 938433.4348778214 7596684.861747535, 948433.4348778214 7596684.861747535))"
"POLYGON ((948433.4348778214 7606684.861747535, 948433.4348778214 7616684.861747535, 938433.4348778214 7616684.861747535, 938433.4348778214 7606684.861747535, 948433.4348778214 7606684.861747535))"
"POLYGON ((948433.4348778214 7616684.861747535, 948433.4348778214 7626684.861747535, 938433.4348778214 7626684.861747535, 938433.4348778214 7616684.861747535, 948433.4348778214 7616684.861747535))"
"POLYGON ((948433.4348778214 7626684.861747535, 948433.4348778214 7636684.861747535, 938433.4348778214 7636684.861747535, 938433.4348778214 7626684.861747535, 948433.4348778214 7626684.861747535))"
"POLYGON ((948433.4348778214 7636684.861747535, 948433.4348778214 7646684.861747535, 938433.4348778214 7646684.861747535, 938433.4348778214 7636684.861747535, 948433.4348778214 7636684.861747535))"
"POLYGON ((948433.4348778214 7646684.861747535, 948433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535, 938433.4348778214 7646684.861747535, 948433.4348778214 7646684.861747535))"
"POLYGON ((948433.4348778214 7656684.861747535, 948433.4348778214 7666684.861747535, 938433.4348778214 7666684.861747535, 938433.4348778214 7656684.861747535, 948433.4348778214 7656684.861747535))"
"POLYGON ((948433.4348778214 7686684.861747535, 948433.4348778214 7696684.861747535, 938433.4348778214 7696684.861747535, 938433.4348778214 7686684.861747535, 948433.4348778214 7686684.861747535))"
"POLYGON ((948433.4348778214 7696684.861747535, 948433.4348778214 7706684.861747535, 938433.4348778214 7706684.861747535, 938433.4348778214 7696684.861747535, 948433.4348778214 7696684.861747535))"
"POLYGON ((948433.4348778214 7706684.861747535, 948433.4348778214 7716684.861747535, 938433.4348778214 7716684.861747535, 938433.4348778214 7706684.861747535, 948433.4348778214 7706684.861747535))"
"POLYGON ((948433.4348778214 7716684.861747535, 948433.4348778214 7726684.861747535, 938433.4348778214 7726684.861747535, 938433.4348778214 7716684.861747535, 948433.4348778214 7716684.861747535))"
"POLYGON ((948433.4348778214 7726684.861747535, 948433.4348778214 7736684.861747535, 938433.4348778214 7736684.861747535, 938433.4348778214 7726684.861747535, 948433.4348778214 7726684.861747535))"
"POLYGON ((948433.4348778214 7736684.861747535, 948433.4348778214 7746684.861747535, 938433.4348778214 7746684.861747535, 938433.4348778214 7736684.861747535, 948433.4348778214 7736684.861747535))"
"POLYGON ((948433.4348778214 7746684.861747535, 948433.4348778214 7756684.861747535, 938433.4348778214 7756684.861747535, 938433.4348778214 7746684.861747535, 948433.4348778214 7746684.861747535))"
"POLYGON ((948433.4348778214 7756684.861747535, 948433.4348778214 7766684.861747535, 938433.4348778214 7766684.861747535, 938433.4348778214 7756684.861747535, 948433.4348778214 7756684.861747535))"
"POLYGON ((958433.4348778214 7386684.861747535, 958433.4348778214 7396684.861747535, 948433.4348778214 7396684.861747535, 948433.4348778214 7386684.861747535, 958433.4348778214 7386684.861747535))"
"POLYGON ((958433.4348778214 7446684.861747535, 958433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535, 948433.4348778214 7446684.861747535, 958433.4348778214 7446684.861747535))"
"POLYGON ((958433.4348778214 7456684.861747535, 958433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535, 948433.4348778214 7456684.861747535, 958433.4348778214 7456684.861747535))"
"POLYGON ((958433.4348778214 7466684.861747535, 958433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535, 948433.4348778214 7466684.861747535, 958433.4348778214 7466684.861747535))"
"POLYGON ((958433.4348778214 7476684.861747535, 958433.4348778214 7486684.861747535, 948433.4348778214 7486684.861747535, 948433.4348778214 7476684.861747535, 958433.4348778214 7476684.861747535))"
