,geometry
0,"POLYGON ((903433.4348778214 7471684.861747535, 903433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7471684.861747535, 903433.4348778214 7471684.861747535))"
1,"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7471684.861747535, 903433.4348778214 7471684.861747535, 903433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))"
2,"POLYGON ((908433.4348778214 7471684.861747535, 908433.4348778214 7476684.861747535, 903433.4348778214 7476684.861747535, 903433.4348778214 7471684.861747535, 908433.4348778214 7471684.861747535))"
3,"POLYGON ((908433.4348778214 7476684.861747535, 908433.4348778214 7481684.861747535, 903433.4348778214 7481684.861747535, 903433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535))"
4,"POLYGON ((908433.4348778214 7481684.861747535, 908433.4348778214 7486684.861747535, 903433.4348778214 7486684.861747535, 903433.4348778214 7481684.861747535, 908433.4348778214 7481684.861747535))"
5,"POLYGON ((908433.4348778214 7486684.861747535, 908433.4348778214 7491684.861747535, 903433.4348778214 7491684.861747535, 903433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535))"
6,"POLYGON ((908433.4348778214 7551684.861747535, 908433.4348778214 7556684.861747535, 903433.4348778214 7556684.861747535, 903433.4348778214 7551684.861747535, 908433.4348778214 7551684.861747535))"
7,"POLYGON ((908433.4348778214 7576684.861747535, 908433.4348778214 7581684.861747535, 903433.4348778214 7581684.861747535, 903433.4348778214 7576684.861747535, 908433.4348778214 7576684.861747535))"
8,"POLYGON ((908433.4348778214 7581684.861747535, 908433.4348778214 7586684.861747535, 903433.4348778214 7586684.861747535, 903433.4348778214 7581684.861747535, 908433.4348778214 7581684.861747535))"
9,"POLYGON ((908433.4348778214 7586684.861747535, 908433.4348778214 7591684.861747535, 903433.4348778214 7591684.861747535, 903433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535))"
10,"POLYGON ((908433.4348778214 7591684.861747535, 908433.4348778214 7596684.861747535, 903433.4348778214 7596684.861747535, 903433.4348778214 7591684.861747535, 908433.4348778214 7591684.861747535))"
11,"POLYGON ((908433.4348778214 7596684.861747535, 908433.4348778214 7601684.861747535, 903433.4348778214 7601684.861747535, 903433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535))"
12,"POLYGON ((908433.4348778214 7601684.861747535, 908433.4348778214 7606684.861747535, 903433.4348778214 7606684.861747535, 903433.4348778214 7601684.861747535, 908433.4348778214 7601684.861747535))"
13,"POLYGON ((908433.4348778214 7606684.861747535, 908433.4348778214 7611684.861747535, 903433.4348778214 7611684.861747535, 903433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535))"
14,"POLYGON ((908433.4348778214 7611684.861747535, 908433.4348778214 7616684.861747535, 903433.4348778214 7616684.861747535, 903433.4348778214 7611684.861747535, 908433.4348778214 7611684.861747535))"
15,"POLYGON ((908433.4348778214 7616684.861747535, 908433.4348778214 7621684.861747535, 903433.4348778214 7621684.861747535, 903433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535))"
