geometry,soiltype
"POLYGON ((903433.4348778214 7471684.861747535, 903433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7471684.861747535, 903433.4348778214 7471684.861747535))",ES
"POLYGON ((903433.4348778214 7476684.861747535, 903433.4348778214 7481684.861747535, 898433.4348778214 7481684.861747535, 898433.4348778214 7476684.861747535, 903433.4348778214 7476684.861747535))",ES
"POLYGON ((903433.4348778214 7481684.861747535, 903433.4348778214 7486684.861747535, 898433.4348778214 7486684.861747535, 898433.4348778214 7481684.861747535, 903433.4348778214 7481684.861747535))",ES
"POLYGON ((903433.4348778214 7561684.861747535, 903433.4348778214 7566684.861747535, 898433.4348778214 7566684.861747535, 898433.4348778214 7561684.861747535, 903433.4348778214 7561684.861747535))",ES
"POLYGON ((903433.4348778214 7566684.861747535, 903433.4348778214 7571684.861747535, 898433.4348778214 7571684.861747535, 898433.4348778214 7566684.861747535, 903433.4348778214 7566684.861747535))",ES
"POLYGON ((903433.4348778214 7571684.861747535, 903433.4348778214 7576684.861747535, 898433.4348778214 7576684.861747535, 898433.4348778214 7571684.861747535, 903433.4348778214 7571684.861747535))",ES
"POLYGON ((903433.4348778214 7576684.861747535, 903433.4348778214 7581684.861747535, 898433.4348778214 7581684.861747535, 898433.4348778214 7576684.861747535, 903433.4348778214 7576684.861747535))",ES
"POLYGON ((903433.4348778214 7581684.861747535, 903433.4348778214 7586684.861747535, 898433.4348778214 7586684.861747535, 898433.4348778214 7581684.861747535, 903433.4348778214 7581684.861747535))",ES
"POLYGON ((903433.4348778214 7586684.861747535, 903433.4348778214 7591684.861747535, 898433.4348778214 7591684.861747535, 898433.4348778214 7586684.861747535, 903433.4348778214 7586684.861747535))",ES
"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7471684.861747535, 903433.4348778214 7471684.861747535, 903433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))",HSL
"POLYGON ((908433.4348778214 7471684.861747535, 908433.4348778214 7476684.861747535, 903433.4348778214 7476684.861747535, 903433.4348778214 7471684.861747535, 908433.4348778214 7471684.861747535))",ES
"POLYGON ((908433.4348778214 7476684.861747535, 908433.4348778214 7481684.861747535, 903433.4348778214 7481684.861747535, 903433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535))",ES
"POLYGON ((908433.4348778214 7481684.861747535, 908433.4348778214 7486684.861747535, 903433.4348778214 7486684.861747535, 903433.4348778214 7481684.861747535, 908433.4348778214 7481684.861747535))",ES
"POLYGON ((908433.4348778214 7486684.861747535, 908433.4348778214 7491684.861747535, 903433.4348778214 7491684.861747535, 903433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535))",ES
"POLYGON ((908433.4348778214 7491684.861747535, 908433.4348778214 7496684.861747535, 903433.4348778214 7496684.861747535, 903433.4348778214 7491684.861747535, 908433.4348778214 7491684.861747535))",ES
"POLYGON ((908433.4348778214 7496684.861747535, 908433.4348778214 7501684.861747535, 903433.4348778214 7501684.861747535, 903433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535))",ES
"POLYGON ((908433.4348778214 7531684.861747535, 908433.4348778214 7536684.861747535, 903433.4348778214 7536684.861747535, 903433.4348778214 7531684.861747535, 908433.4348778214 7531684.861747535))",ES
"POLYGON ((908433.4348778214 7536684.861747535, 908433.4348778214 7541684.861747535, 903433.4348778214 7541684.861747535, 903433.4348778214 7536684.861747535, 908433.4348778214 7536684.861747535))",ES
