,geometry,Salix caprea,Salix viminalis,Arum italicum,Torilis japonica,Typha latifolia,Viola palustris,Carex flava,Corynephorus canescens,Cotoneaster divaricatus,Dactylorhiza fuchsii
0,"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))",False,False,False,False,False,False,False,False,False,False
1,"POLYGON ((908433.4348778214 7476684.861747535, 908433.4348778214 7486684.861747535, 898433.4348778214 7486684.861747535, 898433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535))",False,False,False,False,False,False,False,False,False,False
2,"POLYGON ((908433.4348778214 7486684.861747535, 908433.4348778214 7496684.861747535, 898433.4348778214 7496684.861747535, 898433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535))",False,False,False,False,False,False,False,False,False,False
3,"POLYGON ((908433.4348778214 7496684.861747535, 908433.4348778214 7506684.861747535, 898433.4348778214 7506684.861747535, 898433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535))",False,False,False,False,False,False,False,False,False,False
4,"POLYGON ((908433.4348778214 7536684.861747535, 908433.4348778214 7546684.861747535, 898433.4348778214 7546684.861747535, 898433.4348778214 7536684.861747535, 908433.4348778214 7536684.861747535))",False,False,False,False,False,False,False,False,False,False
5,"POLYGON ((908433.4348778214 7546684.861747535, 908433.4348778214 7556684.861747535, 898433.4348778214 7556684.861747535, 898433.4348778214 7546684.861747535, 908433.4348778214 7546684.861747535))",False,False,False,False,False,False,False,False,False,False
6,"POLYGON ((908433.4348778214 7556684.861747535, 908433.4348778214 7566684.861747535, 898433.4348778214 7566684.861747535, 898433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535))",False,False,False,False,False,False,False,False,False,False
7,"POLYGON ((908433.4348778214 7566684.861747535, 908433.4348778214 7576684.861747535, 898433.4348778214 7576684.861747535, 898433.4348778214 7566684.861747535, 908433.4348778214 7566684.861747535))",False,False,False,False,False,False,False,False,False,False
8,"POLYGON ((908433.4348778214 7576684.861747535, 908433.4348778214 7586684.861747535, 898433.4348778214 7586684.861747535, 898433.4348778214 7576684.861747535, 908433.4348778214 7576684.861747535))",False,False,False,False,False,False,False,False,False,False
9,"POLYGON ((908433.4348778214 7586684.861747535, 908433.4348778214 7596684.861747535, 898433.4348778214 7596684.861747535, 898433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535))",False,False,False,False,False,False,False,False,False,False
10,"POLYGON ((908433.4348778214 7596684.861747535, 908433.4348778214 7606684.861747535, 898433.4348778214 7606684.861747535, 898433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535))",False,False,False,False,False,False,False,False,False,False
11,"POLYGON ((908433.4348778214 7606684.861747535, 908433.4348778214 7616684.861747535, 898433.4348778214 7616684.861747535, 898433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535))",False,False,False,False,False,False,False,False,False,False
12,"POLYGON ((908433.4348778214 7616684.861747535, 908433.4348778214 7626684.861747535, 898433.4348778214 7626684.861747535, 898433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535))",False,False,False,False,False,False,False,False,False,False
13,"POLYGON ((908433.4348778214 7646684.861747535, 908433.4348778214 7656684.861747535, 898433.4348778214 7656684.861747535, 898433.4348778214 7646684.861747535, 908433.4348778214 7646684.861747535))",False,False,False,False,False,False,False,False,False,False
14,"POLYGON ((908433.4348778214 7656684.861747535, 908433.4348778214 7666684.861747535, 898433.4348778214 7666684.861747535, 898433.4348778214 7656684.861747535, 908433.4348778214 7656684.861747535))",False,False,False,False,False,False,False,False,False,False
15,"POLYGON ((908433.4348778214 7666684.861747535, 908433.4348778214 7676684.861747535, 898433.4348778214 7676684.861747535, 898433.4348778214 7666684.861747535, 908433.4348778214 7666684.861747535))",False,False,False,False,False,False,False,False,False,False
16,"POLYGON ((908433.4348778214 7676684.861747535, 908433.4348778214 7686684.861747535, 898433.4348778214 7686684.861747535, 898433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535))",False,False,False,False,False,False,False,False,False,False
17,"POLYGON ((908433.4348778214 7686684.861747535, 908433.4348778214 7696684.861747535, 898433.4348778214 7696684.861747535, 898433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535))",False,False,False,False,False,False,False,False,False,False
18,"POLYGON ((918433.4348778214 7456684.861747535, 918433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535, 908433.4348778214 7456684.861747535, 918433.4348778214 7456684.861747535))",False,False,False,False,False,False,False,False,False,False
19,"POLYGON ((918433.4348778214 7466684.861747535, 918433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535))",False,False,False,False,False,False,False,False,False,False
