,Unnamed: 0_x,geometry,index_right_x,Unnamed: 0.1_x,stationId_x,x_x,y_x,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember,Unnamed: 0_y,index_right_y,Unnamed: 0.1_y,stationId_y,x_y,y_y,sunJanuary,sunFebruary,sunMarch,sunApril,sunMay,sunJune,sunJuly,sunAugust,sunSeptember,sunOctober,sunNovember,sunDecember
0,0,"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,0,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
1,1,"POLYGON ((908433.4348778214 7476684.861747535, 908433.4348778214 7486684.861747535, 898433.4348778214 7486684.861747535, 898433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,1,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
2,2,"POLYGON ((908433.4348778214 7486684.861747535, 908433.4348778214 7496684.861747535, 898433.4348778214 7496684.861747535, 898433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,2,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
3,3,"POLYGON ((908433.4348778214 7496684.861747535, 908433.4348778214 7506684.861747535, 898433.4348778214 7506684.861747535, 898433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,3,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
4,18,"POLYGON ((918433.4348778214 7456684.861747535, 918433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535, 908433.4348778214 7456684.861747535, 918433.4348778214 7456684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,18,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
5,19,"POLYGON ((918433.4348778214 7466684.861747535, 918433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,19,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
6,20,"POLYGON ((918433.4348778214 7476684.861747535, 918433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535, 908433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,20,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
7,21,"POLYGON ((918433.4348778214 7486684.861747535, 918433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535, 908433.4348778214 7486684.861747535, 918433.4348778214 7486684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,21,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
8,22,"POLYGON ((918433.4348778214 7496684.861747535, 918433.4348778214 7506684.861747535, 908433.4348778214 7506684.861747535, 908433.4348778214 7496684.861747535, 918433.4348778214 7496684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,22,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
9,23,"POLYGON ((918433.4348778214 7506684.861747535, 918433.4348778214 7516684.861747535, 908433.4348778214 7516684.861747535, 908433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535))",7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,23,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
