,Unnamed: 0_x,Unnamed: 0_x_x,geometry,index_right_x_x,Unnamed: 0.1_x_x,stationId_x_x,x_x_x,y_x_x,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember,Unnamed: 0_y_x,index_right_y_x,Unnamed: 0.1_y_x,stationId_y_x,x_y_x,y_y_x,maxTempJanuary,maxTempFebruary,maxTempMarch,maxTempApril,maxTempMay,maxTempJune,maxTempJuly,maxTempAugust,maxTempSeptember,maxTempOctober,maxTempNovember,maxTempDecember,Unnamed: 0_y,Unnamed: 0_x_y,index_right_x_y,Unnamed: 0.1_x_y,stationId_x_y,x_x_y,y_x_y,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember,Unnamed: 0_y_y,index_right_y_y,Unnamed: 0.1_y_y,stationId_y_y,x_y_y,y_y_y,sunJanuary,sunFebruary,sunMarch,sunApril,sunMay,sunJune,sunJuly,sunAugust,sunSeptember,sunOctober,sunNovember,sunDecember
0,0,0,"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,0,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,0,0,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,0,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
1,1,1,"POLYGON ((908433.4348778214 7476684.861747535, 908433.4348778214 7486684.861747535, 898433.4348778214 7486684.861747535, 898433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,1,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,1,1,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,1,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
2,2,2,"POLYGON ((908433.4348778214 7486684.861747535, 908433.4348778214 7496684.861747535, 898433.4348778214 7496684.861747535, 898433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,2,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,2,2,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,2,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
3,3,3,"POLYGON ((908433.4348778214 7496684.861747535, 908433.4348778214 7506684.861747535, 898433.4348778214 7506684.861747535, 898433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,3,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,3,3,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,3,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
4,4,18,"POLYGON ((918433.4348778214 7456684.861747535, 918433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535, 908433.4348778214 7456684.861747535, 918433.4348778214 7456684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,18,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,4,18,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,18,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
5,5,19,"POLYGON ((918433.4348778214 7466684.861747535, 918433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,19,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,5,19,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,19,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
6,6,20,"POLYGON ((918433.4348778214 7476684.861747535, 918433.4348778214 7486684.861747535, 908433.4348778214 7486684.861747535, 908433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,20,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,6,20,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,20,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
7,7,21,"POLYGON ((918433.4348778214 7486684.861747535, 918433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535, 908433.4348778214 7486684.861747535, 918433.4348778214 7486684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,21,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,7,21,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,21,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
8,8,22,"POLYGON ((918433.4348778214 7496684.861747535, 918433.4348778214 7506684.861747535, 908433.4348778214 7506684.861747535, 908433.4348778214 7496684.861747535, 918433.4348778214 7496684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,22,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,8,22,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,22,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
9,9,23,"POLYGON ((918433.4348778214 7506684.861747535, 918433.4348778214 7516684.861747535, 908433.4348778214 7516684.861747535, 908433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,23,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,9,23,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,23,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
