,Unnamed: 0,stationId,geometry,x,y,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember,index_right
0,0,6159,POINT (1209976.073228408 7507522.296783464),10.8694,55.7435,-3.9,-5.800000000000001,-3.65,0.8,4.4,10.0,11.8,13.5,10.5,6.1,1.1,-0.4,1258
2,2,6116,POINT (1015556.582557955 7342211.258615134),9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6,398
4,4,6082,POINT (960041.55249935 7550277.927575924),8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5,195
5,5,6058,POINT (906285.3703952781 7559849.105972727),8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6,6
6,6,6019,POINT (961933.9838428355 7745824.718408146),8.6412,56.93,-5.65,-7.550000000000001,-6.449999999999999,-0.9,2.2,7.4,8.1,8.8,6.7,3.2,-0.9,-2.4,213
7,7,6079,POINT (1281265.07513242 7702474.273453287),11.5098,56.7169,-4.0,-6.35,-4.55,0.8,3.5,10.3,12.6,13.0,10.6,7.2,1.7,0.0,1384
9,9,6154,POINT (1320304.820553621 7402242.225714097),11.8605,55.2075,-8.8,-8.25,-5.0,-4.1,-0.9,6.8,6.9,6.2,4.4,-0.3,-2.2,-2.8,1465
10,10,6186,POINT (1396380.560561744 7496179.146079882),12.5439,55.6861,-6.6,-6.75,-4.4,-0.8,2.1,8.6,10.1,9.1,6.7,2.0,-1.2,-1.1,1624
11,11,6174,POINT (1352420.49364748 7439006.070649505),12.149,55.3955,-8.05,-8.3,-4.95,-3.9,-0.8,6.7,6.2,5.8,3.8,0.9,-1.8,-1.9,1548
12,12,6123,POINT (1100749.388862048 7409444.382413397),9.8882,55.2444,-5.4,-5.800000000000001,-3.65,0.5,2.4,9.4,10.9,11.4,9.1,6.3,-0.1,-0.5,830
13,13,6135,POINT (1267695.22920472 7424690.48244335),11.3879,55.3224,-7.65,-7.9,-4.65,-3.6,0.7,7.2,6.1,6.4,4.7,1.6,-1.2,-1.7,1330
14,14,6081,POINT (899773.1801838718 7470826.049920206),8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,0
