,stationId,geometry,x,y,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember
0,06188,POINT (12.4121 55.8764),12.4121,55.8764,57.3,11.7,53.2,,,,66.5,69.8,91.4,79.2,49.4,55.5
1,06141,POINT (11.3292 54.8275),11.3292,54.8275,68.2,18.4,61.6,,,87.3,101.2,59.9,63.6,101.6,52.4,40.5
2,05505,POINT (11.709 55.5633),11.709,55.5633,80.9,19.7,56.9,,,89.8,85.3,73.6,100.4,79.7,64.8,52.4
3,05009,POINT (9.7607 57.4185),9.7607,57.4185,81.1,31.0,41.7,,,88.0,85.4,108.3,51.9,142.7,71.6,76.8
4,05005,POINT (10.1074 57.5705),10.1074,57.5705,84.6,32.5,28.0,,,122.0,64.2,147.9,56.0,146.6,70.1,81.5
5,05225,POINT (9.553100000000001 55.8311),9.5531,55.8311,87.8,42.9,40.0,,,115.6,62.8,93.3,93.5,123.8,84.4,68.3
6,06068,POINT (9.181100000000001 56.0939),9.1811,56.0939,99.2,30.0,29.6,,,,98.1,116.1,132.7,100.9,73.7,71.5
7,05296,POINT (8.1465 56.5032),8.1465,56.5032,75.4,34.1,30.1,,,,42.6,90.3,127.7,87.8,99.3,90.3
8,06184,POINT (12.562 55.716),12.562,55.716,63.1,11.7,57.4,,,96.9,105.9,91.4,138.0,86.7,75.9,55.4
9,05343,POINT (8.903600000000001 55.4929),8.9036,55.4929,107.4,26.6,36.3,,,97.9,84.8,99.2,161.7,124.7,85.8,83.7
10,06135,POINT (11.3879 55.3224),11.3879,55.3224,80.5,18.6,48.0,,,,74.2,53.2,102.7,86.3,46.9,38.7
11,06149,POINT (11.9435 54.5687),11.9435,54.5687,72.5,10.7,55.5,,,,116.9,83.4,65.1,73.3,52.9,32.8
12,05109,POINT (9.0945 56.7637),9.0945,56.7637,78.0,21.7,30.8,,,,71.2,106.1,94.9,93.3,74.7,61.8
13,05276,POINT (9.1594 56.0372),9.1594,56.0372,97.4,32.7,27.1,,,,84.5,94.0,137.8,107.7,84.6,74.6
14,05529,POINT (11.3374 55.7489),11.3374,55.7489,62.1,21.3,42.5,,,,54.2,80.7,96.6,77.2,55.8,38.9
15,05499,POINT (11.8621 55.4069),11.8621,55.4069,73.5,18.3,63.7,,,,87.7,55.2,104.3,78.7,64.7,43.3
16,05185,POINT (9.7875 56.1496),9.7875,56.1496,87.2,35.2,38.6,,,82.3,77.8,92.5,106.6,103.7,63.4,62.1
17,06193,POINT (14.7718 55.2979),14.7718,55.2979,75.1,26.7,53.2,,,94.0,53.8,50.9,74.6,92.0,75.8,50.3
18,05269,POINT (9.0162 55.8528),9.0162,55.8528,115.0,39.1,26.3,,,107.0,100.9,97.2,144.8,134.8,105.2,98.3
19,06119,POINT (9.988 54.8528),9.988,54.8528,67.4,21.9,47.3,,,80.3,78.0,82.9,64.9,60.5,54.0,49.1
20,05400,POINT (9.895300000000001 55.4935),9.8953,55.4935,70.2,25.1,29.5,,,,58.8,90.0,101.2,90.9,56.1,51.6
21,06126,POINT (10.4398 55.3088),10.4398,55.3088,85.3,24.0,50.4,,,,79.4,80.6,69.4,89.7,66.6,58.8
22,05300,POINT (8.1653 56.2601),8.1653,56.2601,76.5,30.7,29.7,,,,37.7,112.8,134.9,105.4,100.9,97.7
23,06154,POINT (11.8605 55.2075),11.8605,55.2075,74.7,11.2,47.7,,,54.0,77.3,67.2,105.8,89.5,63.8,32.6
24,06052,POINT (8.215 56.7068),8.215,56.7068,73.0,22.7,27.0,,,77.4,70.3,100.5,115.0,101.6,95.8,91.7
25,05435,POINT (10.1009 55.0978),10.1009,55.0978,66.3,21.8,37.3,,,93.1,78.1,102.0,75.6,87.1,58.6,38.4
26,06088,POINT (8.4 55.4484),8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5
27,05970,POINT (11.3515 54.6573),11.3515,54.6573,63.4,16.4,77.6,,,,95.4,57.1,75.5,99.2,55.9,48.5
28,05095,POINT (8.376899999999999 56.951),8.3769,56.951,103.4,24.8,34.8,,,53.4,56.6,96.4,89.7,102.3,93.0,94.0
29,05880,POINT (12.4218 55.2931),12.4218,55.2931,58.2,14.3,62.7,,,60.1,106.7,46.9,73.3,68.4,56.9,39.1
30,05381,POINT (9.2057 55.147),9.2057,55.147,109.4,35.4,53.8,,,121.1,79.1,98.3,141.1,115.5,98.7,96.7
31,05329,POINT (8.332700000000001 55.723),8.3327,55.723,98.9,25.1,34.4,,,,58.7,76.3,175.6,127.7,103.0,92.4
32,05272,POINT (9.1168 55.9654),9.1168,55.9654,103.0,39.7,33.8,,,,89.5,99.8,156.2,113.5,94.2,86.6
33,05545,POINT (11.6064 55.8687),11.6064,55.8687,62.5,19.2,47.1,,,107.4,77.3,70.0,82.4,74.7,71.3,45.3
34,05994,POINT (14.9683 55.163),14.9683,55.163,99.9,53.2,74.7,,,,70.8,59.9,120.7,125.6,130.5,84.7
35,05140,POINT (10.1004 56.5665),10.1004,56.5665,77.8,24.8,31.0,,,125.1,82.9,104.5,74.8,82.9,65.3,70.7
36,05089,POINT (8.9649 57.1518),8.9649,57.1518,95.6,31.7,40.7,,,88.0,68.8,76.7,112.9,125.2,75.2,88.9
