,geometry,index_right,Unnamed: 0,stationId,x,y,sunJanuary,sunFebruary,sunMarch,sunApril,sunMay,sunJune,sunJuly,sunAugust,sunSeptember,sunOctober,sunNovember,sunDecember
0,"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
18,"POLYGON ((918433.4348778214 7456684.861747535, 918433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535, 908433.4348778214 7456684.861747535, 918433.4348778214 7456684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
19,"POLYGON ((918433.4348778214 7466684.861747535, 918433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
41,"POLYGON ((928433.4348778214 7456684.861747535, 928433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535, 918433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
42,"POLYGON ((928433.4348778214 7466684.861747535, 928433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535, 918433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
68,"POLYGON ((938433.4348778214 7436684.861747535, 938433.4348778214 7446684.861747535, 928433.4348778214 7446684.861747535, 928433.4348778214 7436684.861747535, 938433.4348778214 7436684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
69,"POLYGON ((938433.4348778214 7446684.861747535, 938433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535, 928433.4348778214 7446684.861747535, 938433.4348778214 7446684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
70,"POLYGON ((938433.4348778214 7456684.861747535, 938433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535, 928433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
71,"POLYGON ((938433.4348778214 7466684.861747535, 938433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535, 928433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
99,"POLYGON ((948433.4348778214 7376684.861747535, 948433.4348778214 7386684.861747535, 938433.4348778214 7386684.861747535, 938433.4348778214 7376684.861747535, 948433.4348778214 7376684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
100,"POLYGON ((948433.4348778214 7386684.861747535, 948433.4348778214 7396684.861747535, 938433.4348778214 7396684.861747535, 938433.4348778214 7386684.861747535, 948433.4348778214 7386684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
101,"POLYGON ((948433.4348778214 7396684.861747535, 948433.4348778214 7406684.861747535, 938433.4348778214 7406684.861747535, 938433.4348778214 7396684.861747535, 948433.4348778214 7396684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
102,"POLYGON ((948433.4348778214 7426684.861747535, 948433.4348778214 7436684.861747535, 938433.4348778214 7436684.861747535, 938433.4348778214 7426684.861747535, 948433.4348778214 7426684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
103,"POLYGON ((948433.4348778214 7436684.861747535, 948433.4348778214 7446684.861747535, 938433.4348778214 7446684.861747535, 938433.4348778214 7436684.861747535, 948433.4348778214 7436684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
104,"POLYGON ((948433.4348778214 7446684.861747535, 948433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535, 938433.4348778214 7446684.861747535, 948433.4348778214 7446684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
105,"POLYGON ((948433.4348778214 7456684.861747535, 948433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535, 938433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
106,"POLYGON ((948433.4348778214 7466684.861747535, 948433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535, 938433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
137,"POLYGON ((958433.4348778214 7366684.861747535, 958433.4348778214 7376684.861747535, 948433.4348778214 7376684.861747535, 948433.4348778214 7366684.861747535, 958433.4348778214 7366684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
138,"POLYGON ((958433.4348778214 7376684.861747535, 958433.4348778214 7386684.861747535, 948433.4348778214 7386684.861747535, 948433.4348778214 7376684.861747535, 958433.4348778214 7376684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
139,"POLYGON ((958433.4348778214 7386684.861747535, 958433.4348778214 7396684.861747535, 948433.4348778214 7396684.861747535, 948433.4348778214 7386684.861747535, 958433.4348778214 7386684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
140,"POLYGON ((958433.4348778214 7396684.861747535, 958433.4348778214 7406684.861747535, 948433.4348778214 7406684.861747535, 948433.4348778214 7396684.861747535, 958433.4348778214 7396684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
141,"POLYGON ((958433.4348778214 7446684.861747535, 958433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535, 948433.4348778214 7446684.861747535, 958433.4348778214 7446684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
142,"POLYGON ((958433.4348778214 7456684.861747535, 958433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535, 948433.4348778214 7456684.861747535, 958433.4348778214 7456684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
143,"POLYGON ((958433.4348778214 7466684.861747535, 958433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535, 948433.4348778214 7466684.861747535, 958433.4348778214 7466684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
175,"POLYGON ((968433.4348778214 7346684.861747535, 968433.4348778214 7356684.861747535, 958433.4348778214 7356684.861747535, 958433.4348778214 7346684.861747535, 968433.4348778214 7346684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
176,"POLYGON ((968433.4348778214 7356684.861747535, 968433.4348778214 7366684.861747535, 958433.4348778214 7366684.861747535, 958433.4348778214 7356684.861747535, 968433.4348778214 7356684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
177,"POLYGON ((968433.4348778214 7366684.861747535, 968433.4348778214 7376684.861747535, 958433.4348778214 7376684.861747535, 958433.4348778214 7366684.861747535, 968433.4348778214 7366684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
178,"POLYGON ((968433.4348778214 7376684.861747535, 968433.4348778214 7386684.861747535, 958433.4348778214 7386684.861747535, 958433.4348778214 7376684.861747535, 968433.4348778214 7376684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
179,"POLYGON ((968433.4348778214 7386684.861747535, 968433.4348778214 7396684.861747535, 958433.4348778214 7396684.861747535, 958433.4348778214 7386684.861747535, 968433.4348778214 7386684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
180,"POLYGON ((968433.4348778214 7396684.861747535, 968433.4348778214 7406684.861747535, 958433.4348778214 7406684.861747535, 958433.4348778214 7396684.861747535, 968433.4348778214 7396684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
181,"POLYGON ((968433.4348778214 7406684.861747535, 968433.4348778214 7416684.861747535, 958433.4348778214 7416684.861747535, 958433.4348778214 7406684.861747535, 968433.4348778214 7406684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
182,"POLYGON ((968433.4348778214 7416684.861747535, 968433.4348778214 7426684.861747535, 958433.4348778214 7426684.861747535, 958433.4348778214 7416684.861747535, 968433.4348778214 7416684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
183,"POLYGON ((968433.4348778214 7426684.861747535, 968433.4348778214 7436684.861747535, 958433.4348778214 7436684.861747535, 958433.4348778214 7426684.861747535, 968433.4348778214 7426684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
184,"POLYGON ((968433.4348778214 7436684.861747535, 968433.4348778214 7446684.861747535, 958433.4348778214 7446684.861747535, 958433.4348778214 7436684.861747535, 968433.4348778214 7436684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
185,"POLYGON ((968433.4348778214 7446684.861747535, 968433.4348778214 7456684.861747535, 958433.4348778214 7456684.861747535, 958433.4348778214 7446684.861747535, 968433.4348778214 7446684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
186,"POLYGON ((968433.4348778214 7456684.861747535, 968433.4348778214 7466684.861747535, 958433.4348778214 7466684.861747535, 958433.4348778214 7456684.861747535, 968433.4348778214 7456684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
187,"POLYGON ((968433.4348778214 7466684.861747535, 968433.4348778214 7476684.861747535, 958433.4348778214 7476684.861747535, 958433.4348778214 7466684.861747535, 968433.4348778214 7466684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
220,"POLYGON ((978433.4348778214 7356684.861747535, 978433.4348778214 7366684.861747535, 968433.4348778214 7366684.861747535, 968433.4348778214 7356684.861747535, 978433.4348778214 7356684.861747535))",25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336
