,Unnamed: 0_x,Unnamed: 0.1_x,Unnamed: 0_x,geometry,index_right_x,Unnamed: 0.1_x,stationId_x,x_x,y_x,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember,Unnamed: 0_y,index_right_y,Unnamed: 0.1_y,stationId_y,x_y,y_y,sunJanuary,sunFebruary,sunMarch,sunApril,sunMay,sunJune,sunJuly,sunAugust,sunSeptember,sunOctober,sunNovember,sunDecember,Unnamed: 0_y,index_right,Unnamed: 0.1_y,stationId,x,y,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember
0,0,0,0,"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,0,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,0,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
1,1,1,18,"POLYGON ((918433.4348778214 7456684.861747535, 918433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535, 908433.4348778214 7456684.861747535, 918433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,18,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,18,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
2,2,2,19,"POLYGON ((918433.4348778214 7466684.861747535, 918433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,19,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,19,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
3,3,3,41,"POLYGON ((928433.4348778214 7456684.861747535, 928433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535, 918433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,41,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,41,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
4,4,4,42,"POLYGON ((928433.4348778214 7466684.861747535, 928433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535, 918433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,42,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,42,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
5,5,5,68,"POLYGON ((938433.4348778214 7436684.861747535, 938433.4348778214 7446684.861747535, 928433.4348778214 7446684.861747535, 928433.4348778214 7436684.861747535, 938433.4348778214 7436684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,68,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,68,27,27,6093,8.6551,55.2908,-6.4,-6.45,-4.05,-2.4,2.0,7.9,9.8,9.1,6.3,5.0,-1.7,-3.7
6,6,6,69,"POLYGON ((938433.4348778214 7446684.861747535, 938433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535, 928433.4348778214 7446684.861747535, 938433.4348778214 7446684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,69,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,69,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
7,7,7,70,"POLYGON ((938433.4348778214 7456684.861747535, 938433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535, 928433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,70,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,70,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
8,8,8,71,"POLYGON ((938433.4348778214 7466684.861747535, 938433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535, 928433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,71,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,71,14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
9,9,9,102,"POLYGON ((948433.4348778214 7426684.861747535, 948433.4348778214 7436684.861747535, 938433.4348778214 7436684.861747535, 938433.4348778214 7426684.861747535, 948433.4348778214 7426684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,,,,66.7,115.2,171.9,124.3,103.4,70.5,102,25,25,6096,8.5599,55.1904,58.6,84.15,121.575,197.8333333333333,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,102,27,27,6093,8.6551,55.2908,-6.4,-6.45,-4.05,-2.4,2.0,7.9,9.8,9.1,6.3,5.0,-1.7,-3.7
