,geometry,index_right,Unnamed: 0,stationId,x,y,windJanuary,windFebruary,windMarch,windJuly,windAugust,windSeptember,windOctober,windNovember,windDecember
0,"POLYGON ((908433.4348778214 7466684.861747535, 908433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
18,"POLYGON ((918433.4348778214 7456684.861747535, 918433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535, 908433.4348778214 7456684.861747535, 918433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
19,"POLYGON ((918433.4348778214 7466684.861747535, 918433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
41,"POLYGON ((928433.4348778214 7456684.861747535, 928433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535, 918433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
42,"POLYGON ((928433.4348778214 7466684.861747535, 928433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535, 918433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
68,"POLYGON ((938433.4348778214 7436684.861747535, 938433.4348778214 7446684.861747535, 928433.4348778214 7446684.861747535, 928433.4348778214 7436684.861747535, 938433.4348778214 7436684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
69,"POLYGON ((938433.4348778214 7446684.861747535, 938433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535, 928433.4348778214 7446684.861747535, 938433.4348778214 7446684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
70,"POLYGON ((938433.4348778214 7456684.861747535, 938433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535, 928433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
71,"POLYGON ((938433.4348778214 7466684.861747535, 938433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535, 928433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
102,"POLYGON ((948433.4348778214 7426684.861747535, 948433.4348778214 7436684.861747535, 938433.4348778214 7436684.861747535, 938433.4348778214 7426684.861747535, 948433.4348778214 7426684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
103,"POLYGON ((948433.4348778214 7436684.861747535, 948433.4348778214 7446684.861747535, 938433.4348778214 7446684.861747535, 938433.4348778214 7436684.861747535, 948433.4348778214 7436684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
104,"POLYGON ((948433.4348778214 7446684.861747535, 948433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535, 938433.4348778214 7446684.861747535, 948433.4348778214 7446684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
105,"POLYGON ((948433.4348778214 7456684.861747535, 948433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535, 938433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535))",26,26,6088,8.4,55.4484,90.6,26.5,39.9,66.7,115.2,171.9,124.3,103.4,70.5
